maintenance_id,truck_id,maintenance_date,maintenance_type,repair_cost,downtime_hours
M0425,T054,2026-08-12 09:01:36.586166,Brake,26765,42
M0426,T042,2026-03-23 09:01:36.586166,Electrical,1586,20
M0427,T086,2026-02-25 09:01:36.586166,Engine,29946,4
M0428,T008,2026-01-22 09:01:36.586166,Electrical,6665,16
M0429,T008,2026-05-04 09:01:36.586166,Oil Change,14382,3
M0430,T007,2026-08-04 09:01:36.586166,Brake,19401,17
M0431,T067,2026-07-05 09:01:36.586166,Oil Change,3839,3
M0432,T012,2026-06-19 09:01:36.586166,Brake,5166,38
M0433,T095,2025-10-30 09:01:36.586166,Oil Change,3249,24
M0434,T012,2026-07-14 09:01:36.586166,Engine,22458,18
M0435,T069,2026-03-09 09:01:36.586166,Engine,17310,29
M0436,T056,2026-04-03 09:01:36.586166,Brake,27702,48
M0437,T097,2026-05-07 09:01:36.586166,Tyre,13511,48
M0438,T006,2026-04-13 09:01:36.586166,Brake,5729,30
M0439,T054,2026-05-27 09:01:36.587166,Tyre,13544,3
M0440,T014,2025-11-02 09:01:36.587166,Engine,11908,17
M0441,T001,2026-03-13 09:01:36.587166,Oil Change,24566,42
M0442,T027,2026-04-11 09:01:36.587166,Oil Change,28700,11
M0443,T034,2026-05-19 09:01:36.587166,Tyre,19295,28
M0444,T011,2026-01-08 09:01:36.587166,Oil Change,18522,12
M0445,T021,2026-04-07 09:01:36.587166,Engine,25558,45
M0446,T017,2026-01-25 09:01:36.587166,Brake,13918,30
M0447,T001,2025-12-30 09:01:36.587166,Oil Change,28764,28
M0448,T091,2026-03-02 09:01:36.587166,Tyre,23897,27
M0449,T020,2026-07-12 09:01:36.587166,Tyre,3509,41
M0450,T057,2026-02-19 09:01:36.587166,Electrical,15483,34
M0451,T035,2025-11-01 09:01:36.587166,Tyre,16509,31
M0452,T011,2025-10-12 09:01:36.587166,Brake,19945,5
M0453,T082,2026-06-02 09:01:36.588166,Tyre,1492,4
M0454,T053,2026-07-23 09:01:36.588166,Electrical,10938,34
M0455,T073,2026-01-12 09:01:36.588166,Tyre,5770,10
M0456,T031,2026-04-09 09:01:36.588166,Tyre,27597,15
M0457,T040,2026-08-20 09:01:36.588166,Tyre,24791,28
M0458,T095,2026-03-07 09:01:36.588166,Electrical,5992,9
M0459,T020,2026-08-03 09:01:36.588166,Tyre,26907,42
M0460,T056,2026-05-10 09:01:36.588166,Electrical,25191,24
M0461,T021,2026-03-18 09:01:36.588166,Tyre,19836,13
M0462,T003,2026-02-24 09:01:36.588166,Tyre,27248,20
M0463,T083,2026-08-02 09:01:36.588166,Engine,4312,44
M0464,T091,2025-11-07 09:01:36.588166,Oil Change,26366,14
M0465,T070,2025-12-09 09:01:36.588166,Engine,18406,11
M0466,T060,2026-05-12 09:01:36.589166,Engine,29087,44
M0467,T055,2026-05-20 09:01:36.589166,Tyre,8384,23
M0468,T087,2025-11-20 09:01:36.589166,Tyre,17398,34
M0469,T023,2026-08-14 09:01:36.589166,Electrical,17935,19
M0470,T076,2026-02-14 09:01:36.589166,Electrical,1760,27
M0471,T052,2026-05-07 09:01:36.589166,Engine,12380,8
M0472,T013,2026-08-25 09:01:36.589166,Brake,3985,12
M0473,T048,2026-04-10 09:01:36.589166,Brake,22512,19
M0474,T011,2026-06-13 09:01:36.589166,Brake,29285,3
M0475,T016,2025-09-19 09:01:36.589166,Oil Change,2669,21
M0476,T079,2025-12-20 09:01:36.589166,Oil Change,1137,17
M0477,T064,2026-07-06 09:01:36.589166,Engine,24380,48
M0478,T083,2026-01-01 09:01:36.589166,Oil Change,2732,5
M0479,T026,2026-06-25 09:01:36.589166,Engine,23900,14
M0480,T014,2025-11-16 09:01:36.590166,Oil Change,19047,39
M0481,T080,2025-11-11 09:01:36.590166,Engine,3627,7
M0482,T036,2026-08-31 09:01:36.590166,Engine,7876,21
M0483,T061,2026-07-19 09:01:36.590166,Brake,4504,46
M0484,T064,2026-07-28 09:01:36.590166,Electrical,27956,31
M0485,T098,2025-10-18 09:01:36.590166,Electrical,14596,4
M0486,T100,2026-07-25 09:01:36.590166,Oil Change,29970,11
M0487,T098,2026-03-19 09:01:36.590166,Electrical,25617,5
M0488,T093,2025-12-31 09:01:36.590166,Tyre,4228,39
M0489,T083,2026-04-24 09:01:36.590166,Oil Change,27918,35
M0490,T043,2026-03-14 09:01:36.590166,Engine,21600,9
M0491,T010,2026-06-03 09:01:36.590166,Oil Change,12164,16
M0492,T044,2025-12-19 09:01:36.590166,Brake,24139,9
M0493,T003,2026-01-18 09:01:36.590166,Brake,19288,35
M0494,T087,2026-02-01 09:01:36.591166,Electrical,25401,2
M0495,T061,2026-07-08 09:01:36.591166,Oil Change,20619,5
M0496,T092,2026-05-23 09:01:36.591166,Oil Change,4668,28
M0497,T014,2026-02-10 09:01:36.591166,Engine,19105,46
M0498,T066,2026-07-22 09:01:36.591166,Electrical,16400,11
M0499,T017,2026-06-05 09:01:36.591166,Electrical,29806,39
M0500,T082,2026-03-04 09:01:36.591166,Tyre,16765,33
